offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x0c2,194,43,0:417 64:181 128:164,annotated,u16 MaxHeight (configured wall/card height),"(MaxW,MaxH) matches a filename WxH token in 5/5 files with >=2 tokens; MaxH multiple of module H in 1176/1219, MaxW multiple of module W in 1194/1219",0,0.758,0.728,0.784,0.354,0.801,0.820,0.874
0x0c3,195,7,1:410 2:369 0:172,annotated,part of field @0x0c2 (u16 MaxHeight (configured wall/card height)),"(MaxW,MaxH) matches a filename WxH token in 5/5 files with >=2 tokens; MaxH multiple of module H in 1176/1219, MaxW multiple of module W in 1194/1219",0,0.656,0.603,0.683,0.432,0.722,0.758,0.841
0x0c4,196,2,0:1209 1:10,near-constant,~const 0x00,1209/1219,10,0.992,0.992,0.992,0.992,0.992,0.992,0.992
0x0c5,197,2,14:688 0:531,determined-by:chip,consistent within chip groups,agr=1.000 shuf=0.578 G=33,0,0.641,0.615,0.650,1.000,0.670,1.000,1.000
0x0c6,198,8,0:531 1:361 7:176,determined-by:chip,consistent within chip groups,agr=0.998 shuf=0.445 G=33,3,0.524,0.511,0.532,0.998,0.560,0.999,0.999
0x0c7,199,3,0:531 5:387 4:301,determined-by:chip,consistent within chip groups,agr=1.000 shuf=0.449 G=33,0,0.539,0.519,0.550,1.000,0.573,1.000,1.000
0x0c8,200,4,0:555 6:247 8:229,determined-by:chip,consistent within chip groups,agr=1.000 shuf=0.459 G=33,0,0.493,0.512,0.507,1.000,0.550,1.000,1.000
0x0c9,201,2,1:688 0:531,determined-by:chip,consistent within chip groups,agr=1.000 shuf=0.578 G=33,0,0.641,0.615,0.650,1.000,0.670,1.000,1.000
0x0ca,202,3,3:687 0:531 2:1,determined-by:chip,consistent within chip groups,agr=1.000 shuf=0.578 G=33,0,0.640,0.614,0.649,1.000,0.669,1.000,1.000
0x0cb,203,31,0:846 2:138 127:111,unknown,,best key chip: agr=0.894 shuf=0.694,0,0.698,0.701,0.700,0.894,0.722,0.911,0.922
